Date,Headlines,Summary,Article
"March 13,2021","Indices fall 1% on rising US bond yields, lockdown fears","BEAR TURN Sensex slips 487.43 points, Nifty down 143.85 points, though both managed to record 2nd consecutive weekly gains. Volatility index climbs 4.6% to end at 21.71","Mumbai: Stock indices fell 1% on Friday, giving up early gains on the back of a rise in bond yields in US and Europe and surge in India coronavirus cases that has triggered fear of fresh lockdown.

The Sensex slipped 487.43 points, or 0.95%, to close at 50,792.08 and the Nifty fell 143.85 points, or 0.95%, to close at 15,030.95. However, both indices managed to log a second consecutive weekly gain.

The volatility index India VIX, which measures the market’s perception of risk in the near term, climbed 4.6% to end at 21.71 on Friday.

“The charts are showing there is some resistance occurring near the highs. We may not immediately go beyond 15300 in the near term,” said Rohit Srivastava, founder, Indiacharts.com.

“There is some seasonal pressure because it is the financial year end, so a short-term correction is likely,” said Srivastava. 

The signing of the US stimulus bill had lifted indices by nearly 1% earlier in the day before concern over rising bond yields weighed the market down. 

On Friday, foreign portfolio investors were net sellers of Indian shares worth `942.6 crore while DIIs net sold local shares worth `164 crore, provisional data on the NSE showed. “The net FII flows have not been very significant for the past two weeks despite global markets being strong and the stimulus in the US. It is very difficult for the market to continue moving up without the support of FII flows, which have been strong for the last ten months,” said Hemang Jani, head of equity strategy— broking and distribution at Motilal Oswal.

“Hardening of bond yields has also impacted sentiment despite stimulus being announced in the US- both 10-year and 30-year bonds,” said Jani. 

 Auto makers, Reliance Industries and financials were the biggest laggards of the day. Bajaj Auto, Maruti Suzuki India, ICICI Bank, Sun Pharmaceutical Industries and Reliance Industries ended down 2-3%, worst hit among Sensex constituents. Among financials, IDBI Bank was an outlier as the stock ended up nearly 10% after the Reserve Bank of India on Wednesday said it would take the PSU bank out of its corrective action list.

"
"March 13,2021",Govt finalises stake sale in Tata Communications,"The government will sell its 16.12% stake in Tata Communications through an offer for sale (OFS) and the remaining 10% will be sold to Panatone Finvest Ltd., an investment arm of Tata Sons. ","The government will sell a 16.12 per cent stake in Tata Communications through an offer for sale (OFS) and the remaining 10 per cent of its holding in the company to Panatone Finvest, an investment arm of Tata Sons.

The sale will bring an end to the government's nearly 20-year-old involvement in Tata Communications, formerly known as Videsh Sanchar Nigam Ltd (VSNL).

The government will sell the 10 per cent stake to Panatone Finvest immediately after the OFS, at the price determined through the offering, Tata Communications said in an exchange filing late on Friday.

Tata Communications’ shares closed 2.65 per cent lower at Rs 1,289.75 Friday on the BSE. At that price, the government’s 26.12 per cent stake is worth more than Rs 9,600 crore. 

Panatone Finvest and Tata Sons hold 34.80 per cent and 14.07 per cent, respectively, in the company. The government, Panatone Finvest and Tata Sons are the promoters of the company. The government's holding was a big hurdle in the company's fundraising plans via equity, which meant it was dependent solely on debt funding to invest in business expansion.

VSNL was divested in 2002 by the government and the management control of the company was passed on to the strategic partner Panatone Finvest, a special purpose vehicle under the Tata Groups of Companies and a non-deposit-taking core investment arm of Tata Sons.

At that time, surplus land measuring 773.13 acres at five locations in four cities -- Pune, Kolkata, New Delhi and Chennai -- out of a total of 1230.13 acres held by VSNL, was kept out of the purview of the disinvestment deal. Panatone Finvest was to de-merge or hive off the land into a realty company, for which HPIL was created as a special purpose vehicle. That portion of the transaction has been completed.

Panatone Finvest also holds a more than 30 per cent stake in Tata Sons and Tata Power.

"
"March 13,2021","Gautam Adani becomes top gainer this year so far, beats Jeff Bezos and Elon Musk","The Indian who has added the maximum wealth among all the billionaires across the globe is the founder of the Adani group. Gautam Adani has added over $16-billion to his current net worth of $50-billion since the beginning of the current year. Warrant Buffett become the latest entrant to the $100-billion club during yesterday’s trading session. Out of the 6 listed Adani group companies, 5 have returned over 50 percent to their shareholders in the year so far while 5 have promoter holding in excess of 74 percent. Here’s Jayesh Khilnani with details of Gautam Adani’s wealth creation",
"March 13,2021","SBI Cards gets board's nod to raise up to Rs 2,000 cr via bonds","""The board of directors of the company, at its meeting held today (Friday), has approved raising of funds by way of issuance of non-convertible debentures (NCDs) aggregating to Rs 2,000 crore,"" it said in a regulatory filing.","NEW DELHI: SBI Cards and Payment Services Ltd (SBI Card) on Friday said it has received the board's nod to raise up to Rs 2,000 crore by issuing bonds. 

""The board of directors of the company, at its meeting held today (Friday), has approved raising of funds by way of issuance of non-convertible debentures (NCDs) aggregating to Rs 2,000 crore,"" it said in a regulatory filing. 

 The company said it will raise the money in one or more tranches over a period of time.
"
"March 13,2021",NHPC pays to govt Rs 891 cr as interim dividend for FY21,"NHPC Chairman and Managing Director A K Singh handed over dividend payout advice to Minister of State for Power and New & Renewable Energy R K Singh in the presence of Power Secretary Alok Kumar and other senior officials of the ministry and NHPC, the company said in a statement. ","State-owned hydropower giant NHPC on Friday said it has paid Rs 890.85 crore as an interim dividend to the Centre for the financial year ending March 31, 2021.

NHPC Chairman and Managing Director A K Singh handed over dividend payout advice to Minister of State for Power and New & Renewable Energy R K Singh in the presence of Power Secretary Alok Kumar and other senior officials of the ministry and NHPC, the company said in a statement.

""NHPC has paid an interim dividend of Rs 890.85 crore to Government of India for the financial year 2020-21 on March 5, 2021,"" it said.

The company further said it has recorded a net profit of Rs 2,829.16 crore for the nine months ended December 2020, against the previous period corresponding figure of Rs 2,624.26 crore. The company had earned a net profit of Rs. 3,007.17 crore for the financial year 2019-20.

"
"March 13,2021",US stocks close mixed as Dow notches fifth straight record high,The tech-heavy Nasdaq tumbled after rebounding more than 6 per cent over the past three sessions as the rising bond yields revived inflation worries and dulled the appeal of high-growth technology shares.,"NEW YORK, - The blue-chip Dow powered to its fifth consecutive record high on Friday and the S&P 500 closed slightly higher as investors bought shares that should benefit from a strong reopening of the U.S. economy, an outlook signaled by rising yields in the bond market.

The tech-heavy Nasdaq tumbled after rebounding more than 6 per cent over the past three sessions as the rising bond yields revived inflation worries and dulled the appeal of high-growth technology shares.

The S&P 500 and Nasdaq posted their biggest weekly percentage gains since early February after President Joe Biden signed into law on Thursday one of the largest U.S. fiscal stimulus bills and data reinforced convictions the economy was headed to a high-growth recovery.

The recent rise in U.S. Treasury yields has raised fears of a sudden tapering of monetary stimulus and put downward pressure on Wall Street in recent weeks.

The yield on the benchmark 10-year note hit 1.642 per cent on Friday, the highest level since February of last year.

Boeing Co rose 6.82 per cent to lead the Dow and S&P 500 higher. The rising Dow and tumbling Nasdaq reflect an ongoing sell-off in tech as investors buy cyclical and underpriced value stocks that are expected to do well as the economy recovers.

For tech stocks to continue to flourish you need low rates, and in effect slower growth, said Thomas Hayes, chairman and managing member of hedge fund Great Hill Capital LLC.

But with the stimulus package the economy is likely to expand 7 per cent to 9 per cent this year and pressure interest rates, he said.

""That's why you're seeing rates rise today because the reopening is happening faster and stronger than anticipated. And that's when value and cyclicals and economically sensitive stocks outperform,"" Hayes said.

The speedy distribution of vaccines and more fiscal aid have spurred concerns of rising inflation despite assurances from the Federal Reserve to maintain an accommodative policy. All eyes will be on the central bank's policy meeting next week for further cues on inflation.

U.S. consumer sentiment improved in early March to its strongest in a year, a survey by the University of Michigan showed on Friday.

The Dow Jones Industrial Average rose 293.05 points, or 0.9 per cent, to close at 32,778.64 and the S&P 500 gained 4 points, or 0.10 per cent, to 3,943.34. The Nasdaq Composite dropped 78.81 points, or 0.59 per cent, to end at 13,319.87.

For the week, the S&P rose 2.6 per cent, the Dow added 4.1 per cent and the Nasdaq gained 3.1 per cent. For the Dow it was its biggest weekly gain since November.

Volume on U.S. exchanges was 11.64 billion shares.

The Nasdaq has been particularly hit by the sell-off in recent weeks and confirmed a correction at the start of the week as investors swapped richly valued technology stocks with those of energy, mining and industrial companies that are poised to benefit more from an economic rebound.

Value stocks added about 0.80 per cent, while growth stocks slumped 0.62 per cent in a continuation of a rotation that began late last year.

The high-flying but yield-sensitive group of stocks including of Facebook Inc, Apple Inc, Amazon.com Inc, Netflix Inc, Google-parent Alphabet Inc , Tesla Inc and Microsoft Corp, which fueled the past's year rally, fell.

Tech, communication services and consumer discretionary indexes, which house these mega-cap stocks, slipped the most among major S&P sectors.

The bank index jumped 1.83 per cent, while financials and industrials clinched new record levels.

Ulta Beauty Inc fell 8.4 per cent after the cosmetics retailer forecast annual revenue below estimates, as demand for make-up products were under pressure due to extended work-from-home policies.

U.S.-listed shares of China-based JD.com Inc slid 6.7 per cent after three sources said the company is in talks to buy part or all of a stake in brokerage Sinolink Securities worth at least $1.5 billion.

Advancing issues outnumbered declining ones on the NYSE by a 1.24-to-1 ratio; on Nasdaq, a 1.14-to-1 ratio favored advancers.

The S&P 500 posted 83 new 52-week highs and no new lows; the Nasdaq Composite recorded 396 new highs and 12 new lows.
"
"March 13,2021",Tata seeks CCI nod to buy majority stake in BigBasket,"In the filing with the Competition Commission of India, Tata Digital Ltd, a wholly owned unit of Tata Sons, proposed to buy 64.3% of an entity that runs business-to-business sales for BigBasket.","BENGALURU: Indian conglomerate Tata Sons plans to buy a majority stake in Alibaba-backed online grocery seller BigBasket, a filing with the country's antitrust body showed on Friday.

The deal, if approved, would put Tata - a more than 150-year-old group with interests in everything from luxury cars to software - in direct competition with Amazon, Walmart's Flipkart and an upstart grocery service from Reliance Industries, backed by billionaire Mukesh Ambani.

In the filing with the Competition Commission of India, Tata Digital Ltd, a wholly owned unit of Tata Sons, proposed to buy 64.3% of an entity that runs business-to-business sales for BigBasket.

Media agencies have reported that the group aims to take control of more than 60% of BigBasket, buying out Chinese e-commerce giant Alibaba's stake.

The proposal comes as e-commerce sales, especially of food and groceries, have exploded in India as the COVID-19 pandemic spurred a shift to online shopping.

BigBasket's rivals are expected to spend heavily on the e-grocery business.

Flipkart has announced plans to expand to more Indian cities, while Reliance's digital unit - which is likely to support its grocery service - has raised more than $20 billion from investors including Facebook and Alphabet's Google. 

"
"March 13,2021",India's February palm oil imports down 27% yr/yr to 9-month low,"India imported 394,495 tonnes of palm oil, down from 540,470 tonnes a year earlier, the Solvent Extractors' Association of India (SEA) said in a statement.","India's palm oil imports fell 27% in February from a year earlier to their lowest in nine months, a leading trade body said on Friday, reflecting a slowdown in domestic demand.

 India imported 394,495 tonnes of palm oil, down from 540,470 tonnes a year earlier, the Solvent Extractors' Association of India (SEA) said in a statement.

 Soyoil imports fell to 285,973 tonnes from 322,448 tonnes, the SEA said.

 Overseas purchases of sunflower oil dropped to 116,110 tonnes from 226,743 tonnes.

 India buys palm oil from Indonesia and Malaysia, while other oils, including soyoil and sunflower oil, are sourced from Argentina, Brazil, Ukraine and Russia.

 As lower shipments have depleted stocks, India's palm oil imports are expected to rebound in March and April to meet rising demand from hotels and restaurants.

"
"March 13,2021",China's Ant Group CEO leaves after failed IPO prompts revamp,"Hu, who was named the chief executive of the Alibaba Group Holding in 2019, will be replaced by company veteran and Executive Chairman Eric Jing, the financial technology giant said.","China's Ant Group Chief Executive Officer Simon Hu has unexpectedly resigned amid a regulatory-driven overhaul of the financial technology giant's business, the first top management exit since a scuppered $37 billion initial public offering.

Hu, who was named chief executive of the Alibaba Group Holding affiliate in 2019, will be replaced by company veteran and Executive Chairman Eric Jing, Ant said in a statement on Friday.

Hu's exit from the company comes as Ant is working on plans to shift to a financial holding company structure following intense regulatory pressure to subject it to rules and capital requirements similar to those for banks.

That pressure abruptly scuttled Ant's IPO last year, which would have been the world's biggest.

Hu resigned for personal reasons, Ant said in a statement, without elaborating.

""Following the board's thorough discussions, we have decided to respect Simon's personal request and support him fully in his new mission,"" Jing said in an internal memo, an excerpt of which was seen by Reuters.

Jing will continue in his current role as chairman, he said.

U.S.-listed shares in billionaire Jack Ma's Alibaba dropped as much as 3.9% in the morning trade on Friday.

Hu's departure is the first major management change since the IPO was scrapped. He was one of the key executives responsible for managing the company's mega dual-listing in Hong Kong and Shanghai.


Financial ProblemsMa's business empire has been at the centre of a crackdown following an Oct. 24 speech in which he blasted China's regulatory system.

Regulators have since been tightening scrutiny of the country's technology sector, with Alibaba taking much of the heat. The regulator launched an official anti-trust probe into Alibaba in December.

Ma, who is not known for shying away from the limelight, disappeared from the public eye for about three months, prompting frenzied speculation about his whereabouts. He re-emerged in January in a 50-second video appearance.

Ant's financial holding structure is expected to weigh on its valuation, as the fintech firm was valued as a technology firm in its previous fundraising rounds. Typically, valuations are much higher on technology firms than on financial companies.

The change in management also comes days after some Ant staff expressed frustration on social media for not being able to sell the company shares they own after Chinese regulators abruptly halted the company's market debut.

Jing told Ant employees that the company would review its staff incentive programmes and roll out some measures starting from April to help solve their financial problems, according to two people who saw the messages.

The listing in November of Ant, whose businesses include consumer lending and insurance products distribution, would have made some of the company's employees millionaires or billionaires.

Although Ma has stepped down from corporate positions and earnings calls, he retains significant influence over Alibaba and Ant and promotes them globally at business and political events.

Hu joined Ant in 2005 and has worked in various roles in the group as well as at Alibaba, according to his LinkedIn profile.

Jing has been Ant's executive chairman since 2018 and before that he held various positions at the company including president and chief operating officer, according to his profile on the World Bank website. He joined Alibaba in 2007. 

"
"March 13,2021",NSE-BSE bulk deals: Government of Singapore picks 1.67% in SBI Life Insurance,"At the same time, BNP Paribas Cardif, which held 5.2 crore shares of 5.20 per cent in SBI Life sold 5 crore at Rs 911.28.","NEW DELHI: A number of investors exchanged rights entitlement shares of Arvind Fashions on Friday, bulk deal data published by NSE and BSE showed. A couple of major deals also happened in SBI Life Insurance.

HDFC MF and Plenty Private Equity Fund sold nearly 15 lakh RE shares of the clothmaker while Centillion Capital, Kshitij Portfolio and Rajasthan Global Securities together bought over 5 lakh of them.

The Government of Singapore bought 1.7 crore shares of SBI Life Insurance at Rs 915 per share. BNP Paribas Arbitrage bought 90 lakh shares at Rs 910. Both investors did not figure among major investors of the insurer as per the latest shareholding data.

At the same time, BNP Paribas Cardif, which held 5.2 crore shares of 5.20 per cent in SBI Life sold 5 crore at Rs 911.28.

Among other deals, Bank of India continues to dump shares of Rolta India. The lender sold 8.34 lakh shares of the company at Rs 4.20 per share. PLutus Wealth Management bought 35 lakh shares that were sold Westbridge Crossover Fund.


Here are other bulk deals on NSE:




Here are bulk deals on BSE:




"
"March 13,2021",Indian banks' loans rose 6.6% y/y in two weeks to Feb 26: RBI,"Non-food credit rose 713.55 billion rupees to 107 trillion rupees, while food credit fell 810 million rupees to 752.06 billion rupees.","Indian banks' loans rose 6.6% in the two weeks to Feb. 26 from a year earlier, while deposits rose 12.1%, the Reserve Bank of India's weekly statistical supplement showed on Friday.

Outstanding loans rose 712.73 billion Indian rupees ($9.79 billion) to 107.75 trillion rupees in the period.

Non-food credit rose 713.55 billion rupees to 107 trillion rupees, while food credit fell 810 million rupees to 752.06 billion rupees.

Bank deposits rose 1.52 trillion rupees to 149.34 trillion rupees.

"
"Mar 12, 2021",Market movers: What gave boost to Tata Power; oil explorers set to fall,"Amid volatility in crude oil prices, Indian oil explorers are sending ‘sell’ signals as their stock prices fell below the MACD signal line.","NEW DELHI: Sharp rise in Covid cases and partial lockdowns in many parts of Maharashtra spooked investors on Friday as benchmark indices snapped three-day rising streak.

The 30-share pack Sensex ended 487.43 points, or 0.95 per cent, lower at 50,792.08. The index gyrated 1,283.41 points in a highly volatile session. Its broader peer NSE Nifty settled at 15,030.95, down 143.85 points or 0.95 per cent.

“Markets ended lower amid excessive volatility, in continuation to the prevailing consolidation phase. Initially, the benchmark opened firm, tracking upbeat global cues however surge in bond yields impacted sentiment as the day progressed,” said Ajit Mishra, VP - Research, Religare Broking.


Here are major movers and shakers of the day:

IPO watchDemand for fresh issues remained high on Dalal Street as Anupam Rasayan that opened for public bids on Friday was fully subscribed. By 5 pm, the issue received 1.22 times the shares on offer.


VIX spikesIndia VIX, a barometer of nervousness in the market, made a U-turn and spiked 4.62 per cent to end at 21.70. The sudden rise in the index signifies fear of a sudden selloff among traders.


Tata Power gets Tesla boostShares of Tata Power climbed 5.45 per cent to Rs 113.25 after reports said Tesla is exploring an arrangement with Tata Power to set up charging infrastructure for electric vehicles in the country.


IDBI Bank surgesShares of IDBI Bank closed up nearly 10 per cent at Rs 42 after RBI removed the lender from its enhanced regulatory supervision or Prompt Corrective Action (PCA) framework after a gap of nearly four years.


OIL explorers send sell signalsAmid volatility in crude oil prices, Indian oil explorers are sending ‘sell’ signals as their stock prices fell below the MACD signal line. ONGC and GAIL were among 100-odd stocks that flashed sell signals. L&T Finance, Adani Ports, NHPC and HUDCO were other such stocks.


Where is market headed?The near term trend has turned weak with the Nifty failing to sustain at the highs of Friday and correcting sharply to close below the 20, 50 and 200-period moving averages on the 15-minute chart. “On the daily chart, while the Nifty remains in uptrend, it has closed just above the 20-day SMA, implying that the coming week's price action will be crucial for the future direction of the market. A close below the 20-day SMA and immediate support of 14,919 is likely to trigger a further correction,” said Subash Gangadharan, Senior Technical & Derivative Analyst, HDFC securities.

"
"Mar 12, 2021","Tech View: Nifty bulls run to save the 20-day EMA, upside capped","Nifty ended up forming a ‘Bearish Engulfing’ candle on the daily chart and a ‘Gravestone Doji’ formation on the weekly chart. The only silver lining for the day was that the index still managed to close above the 15,000 mark.","NEW DELHI: Nifty50 breached the swing high of 15,273 on Friday only to come crashing down later. The index ended up forming a ‘Bearish Engulfing’ candle on the daily chart and a ‘Gravestone Doji’ formation on the weekly chart. The only silver lining for the day was that the index still managed to close above the 15,000 mark.

Mazhar Mohammad of Chartviewindia.in said Nifty50 seems to be moving sideways and is drawing support from its 20-day exponential moving average that stands at 14,957, as it bounced back after testing the said average in four out of last five sessions to Friday.

""A close below the 14,950 level can accelerate the selling pressure with initial targets placed around 14,680 level and beyond that a retest of the recent low placed at 14,467 can’t be ruled out. Contrary to this, if Nifty sustains above the 15,000 mark on Monday, it can help the bulls bounce back towards the 15,250 mark. Upsides shall ideally remain capped around the 15,300 mark,"" he said.

For the day, Nifty closed at 15,030 level, down 143.85 points or 0.95 per cent.

“The index is now contained within a narrow range in the 14,850-15,270 zone. A break of the said range on either side will dictate the trend in the short term. However, on a larger picture, the market still remains deviated on the upside and a break below the recent low of 14,470 will trigger short-term weakness. Until then, traders can maintain a neutral to negative outlook,"" said Nirali Shah of Samco Securities.

Sameet Chavan of Angel Broking said the overall undertone has remained bullish, but the momentum is clearly lacking on all the key indices.

“As far as Nifty level is concerned, the 15,220-15,275 range is the immediate hurdle. If the index has to gain momentum, it needs to surpass this range. On the flipside, the 15,100 and 14,925 levels should be to watched. We are still a bit sceptical as far as the near-term view goes, and hence, advise traders to avoid aggressive bets,” Chavan said.

"
"Mar 12, 2021",F&O: Nifty negates formation of higher lows of last 3 sessions; VIX rises sharply,India VIX moved up 4.61% from 20.74 to 21.70 level. A cool down in VIX below the 21-20 zone is required for the bullish grip to continue and smoothen the market move.,"Chandan Taparia 
Nifty opened with a gap up above the 15,300 level on Friday, but selling pressure across the board pulled the index to 14,950 level. The index cascaded throughout the session while the second half saw sharp decline. However, some support-based recovery was seen in the last hour of trade and Nifty closed near the 15,000 mark with a loss of around 143 points.

The index formed a strong bearish candle on the daily chart and a Doji candle on the weekly scale. Nifty negated the formation of higher lows of last three sessions and wiped out the bullish momentum. Now, it has to decisively hold above 15,000 level to witness a bounce towards 15,200 and 15,300 levels, while on the downside immediate support exists at 14,900 and then 14,800 levels.

India VIX moved up 4.61% from 20.74 to 21.70 level. A cool down in VIX below the 21-20 zone is required for the bullish grip to continue and smoothen the market move.

On the options front, maximum Put open interest stood at 14,000 level followed by 14,500, while maximum Call OI stood at 16,000 followed by 15,500 levels. Call writing was seen at strike prices 15,500 and 15,300 while there was Put writing at 15,000 and then 14,700. Options data suggested a wider trading range between 14,500 and 15,500 levels, while the immediate range was seen between 14,800 and 15,300 levels.

Bank Nifty opened with a gap up, but failed to cross the 36,500 mark and drifted lower. It stooped below 35,200 level and settled the day with a loss of around 440 points. It formed a bearish candle on the daily chart and a Doji on the weekly scale, which indicated sustained selling pressure seen at higher levels even after a recovery from the support levels. Now, it has to hold above 35,500 level to witness a bounce towards 36,000 and 36,500 levels, while on the downside, support exists at 35,000 and then 34,750 levels.

Nifty futures closed negative at 15030 level with a loss of 1.18%. Among specific stocks, the trade setup looked bullish in Tata Power, PFC, Apollo Hospital, Tata Chemicals, PowerGrid and Escorts but weakness in ICICI Prudential, Bank of Baroda, TVS Motor, Canara Bank, Motherson Sumi, ACC, Maruti, SBI, RIL, IndusInd Bank, Petronet LNG, Marico and Jubilant Foodworks.


(Chandan Taparia is Technical & Derivative Analyst at MOFSL. Investors are advised to consult financial advisers before taking an investment calls based on these observations)

"
"Mar 12, 2021",IDBI Bank shares close nearly 10% higher after removal from RBI's PCA framework,"The stock started on a positive note, and jumped 17.12 per cent to Rs 44.80 on BSE during the day. It finally closed at Rs 42, a gain of 9.80 per cent.","NEW DELHI: Shares of IDBI Bank on Friday closed with nearly 10 per cent gain after RBI removed the lender from its enhanced regulatory supervision or Prompt Corrective Action (PCA) framework after a gap of nearly four years. The stock started on a positive note, and jumped 17.12 per cent to Rs 44.80 on BSE during the day. It finally closed at Rs 42, a gain of 9.80 per cent. 

On NSE, it closed at Rs 42, climbing 9.80 per cent after rallying 17.64 per cent to Rs 45 during the day. 

In volume terms, 115.74 lakh shares were traded on BSE and over 12 crore on NSE. 

The Reserve Bank of India (RBI) had placed IDBI Bank under PCA framework in May 2017, after it had breached the thresholds for capital adequacy, asset quality (net NPAs was over 13 per cent in March 2017), return on assets and the leverage ratio. 

The performance of IDBI Bank was reviewed by the Board for Financial Supervision (BFS) in its meeting held on February 18, 2021. 

It was noted that as per published results for the quarter ending December 31, 2020, the bank is not in breach of the PCA parameters on regulatory capital, net NPA and leverage ratio, RBI had said on Wednesday. 

The bank has also provided a written commitment that it would comply with the norms of minimum regulatory capital, net NPA and leverage ratio on an ongoing basis and has apprised the RBI of the structural and systemic improvements that it has put in place which would help the bank in continuing to meet these commitments. 

Equity markets were closed on Thursday for Mahashivratri.
"
"Mar 12, 2021",AGC Networks to acquire stake in Z Services HQ DMCC for $3.94 million,"Black Box Holdings Ltd, an indirect wholly-owned subsidiary of AGC Networks has entered into a share sale agreement with Z Services Holding Ltd, a BVI business company incorporated in the British Virgin Islands on March 11, 2021, a regulatory filing said.","NEW DELHI: AGC Networks on Friday said its subsidiary - Black Box Holdings - will acquire a majority stake in Z Services HQ DMCC for about $3.94 million (around Rs 28.6 crore). Black Box Holdings Ltd, an indirect wholly-owned subsidiary of AGC Networks has entered into a share sale agreement with Z Services Holding Ltd, a BVI business company incorporated in the British Virgin Islands on March 11, 2021, a regulatory filing said. 

 Under the agreement, Black Box Holdings will acquire 76 per cent of shares of Z Services HQ DMCC for a total consideration of approximately $3.94 million, payable at the time of closing, it added. 

 ""The said acquisition of the target company will help AGC to strengthen its presence in the Middle East region and also add cloud cybersecurity capabilities to offer a wider range of services to our customers. This will also give rise to an opportunity to cross-sell to the current customers,"" the filing said. 

 The acquisition - which will require approval from DMCC - is anticipated to be completed within 60 days of signing the share purchase agreement, it said. 

 Z Services HQ DMCC is a limited liability company incorporated under the laws of Dubai Multi Commodities Centre (DMCC) and is engaged in the business of providing services in relation to cloud cybersecurity architecture that includes web, email, cloud application, unified access management, cyber forensic, security operation centre, incident response and risk cybersecurity. 

 It has 22 employees including sales, operations and support staff. Its consolidated revenue in the financial year 2020 (12 months ending December 2020) was approximately $7.24 million.
"
"Mar 12, 2021",BNP Paribas Cardif offloads 5% stake in SBI Life,"In a disclosure to exchanges, SBI Life said the foreign promoter of the company has sold 4.99 per cent, equivalent to 5,00,03,480 equity shares on March 12, 2021, through the open market process.","NEW DELHI: BNP Paribas Cardif on Friday sold over 5 crore shares in SBI Life Insurance for an undisclosed amount through the open market sale, bringing its shareholding to less than 1 per cent in the insurer. The French insurer held a 5.20 per cent stake in SBI Life before selling a major part of its stake in the company. 

In a disclosure to exchanges, SBI Life said the foreign promoter of the company has sold 4.99 per cent, equivalent to 5,00,03,480 equity shares on March 12, 2021, through the open market process. 

The remaining equity of BNP Paribas Cardif now stands at 0.20 per cent, representing 20,03,612 equity shares of SBI Life. 

In June 2019, BNP Paribas Cardif (BNPPC) had sold 2.5 crore shares in the insurer, equivalent to 2.5 per cent, in an offer for sale process for Rs 1,702 crore. 

BNP Paribas Cardif has been gradually offloading its stake in the company. 

In March 2019, it had sold 5 crore shares of the insurance company for Rs 2,889 crore. While during the same month, Carlyle Group had acquired a 9 per cent stake in the life insurer from BNP Paribas Cardif. 

SBI Life was incorporated as a joint venture between State Bank of India (SBI) and BNPPC as a 74:26 equity ratio. 

At the end of December 2020, SBI held a 55.50 per cent stake in the insurer and BNPPC 5.20 per cent. 

The stock of SBI Life traded at Rs 918 apiece on BSE, down 2.34 per cent from the previous close.
"
"Mar 12, 2021","Investors dump bonds and gold, pile into equities: BofA","BofA's weekly flows report showed investors put $31.5 billion into equities, while taking $1.8 billion out of gold and $15.4 billion out of bonds.","LONDON: Investors piled into equities, while pulling money out of gold and bonds in the week up to March 10, data from BofA Global Research showed.

 BofA's weekly flows report showed investors put $31.5 billion into equities, while taking $1.8 billion out of gold and $15.4 billion out of bonds. Bond yields spiked higher last week on inflation fears, while high-flying tech stocks sold off as investors rotated into cheaper value stocks.

 Citing data from EPFR Global, BofA said last week saw the third-largest flows into emerging market stocks ever, and second-largest into value stocks.

 ""We believe 2020 marked a secular low point for inflation and rates,"" BofA said in the report, noting the big outperformance of the Russell 2000 index versus the tech-heavy NASDAQ.

 BofA also said the U.S. government will spend $879mn every hour in 2021 causing either a rise in bond yields, or a fall in the dollar to ""fund fiscal excess"". U.S. debt sustainability will cause higher volatility when higher yields combine with a lower U.S. dollar.

 Quantative easing and yield curve control in the G7 group of economies are ""no longer pushing rates/spreads/vol lower"", BoFA said, noting that interest rates and volatility are ""no longer anchored"". Financial conditions are well past ""peak easy"", the report said.

"
"Mar 12, 2021","FinMin to infuse Rs 14,500 crore in banks under RBI's prompt corrective action framework soon","Indian Overseas Bank, Central Bank of India and UCO Bank are currently under this framework that puts several restrictions on them, including on lending, management compensation and directors' fees.","The finance ministry is likely to infuse Rs 14,500 crore mainly in the banks that are under the RBI's prompt corrective action framework in the next few days to improve their financial health.

Indian Overseas Bank, Central Bank of India and UCO Bank are currently under this framework that puts several restrictions on them, including on lending, management compensation and directors' fees.

The ministry has almost finalised its names of probable candidates for capital infusion, sources said.

The infusion will be made in the next few days, the sources said, adding the biggest beneficiary of this round of capital infusion would be the banks that are under the prompt corrective action (PCA).

The capital infusion will help these banks to come out of the Reserve Bank of India's enhanced regulatory supervision or PCA framework.

Most of the large state-owned lenders -- including State Bank of India, Punjab National Bank, Bank of Baroda, Canara Bank, Union Bank of India, and Indian Bank -- have already raised money from various market sources, including share sale on a private placement basis.

For the current financial year, the government had allocated Rs 20,000 crore for capital infusion into the PSBs for meeting the regulatory requirement.

Among the 12 PSBs, Punjab & Sind Bank was given Rs 5,500 crore in November last year.

Parliament had in September approved the Rs 20,000 crore capital infusion in the PSBs as part of the first batch of Supplementary Demands for Grants for 2020-21.

Earlier this week, LIC controlled IDBI Bank was removed from the RBI's PCA framework after a gap of nearly four years on improved financial performance.

The Reserve Bank of India (RBI) had placed IDBI Bank under the PCA framework in May 2017, after it had breached the thresholds for capital adequacy, asset quality (net NPAs was over 13 per cent in March 2017), return on assets and the leverage ratio.

The performance of IDBI Bank was reviewed by the Board for Financial Supervision (BFS) in its meeting held on February 18, 2021.

It was noted that as per published results for the quarter ending December 31, 2020, the bank is not in breach of the PCA parameters on regulatory capital, net NPA and leverage ratio, the RBI had said. 


"
